"STUDENT_ID","GRAD_APPL_DATE","GRADUATION_DATE","GRADUATED_IND","TOTAL_CREDITS","DEGREE_TYPE","MAJOR","DEPARTMENT","COLLEGE","REQUIRED_HOURS","FULLY_ONLINE_IND","AID_ELIGIBLE_IND","HONORS","OVERALL_GPA"
4901906,16-AUG-17  08:28 AM,06-MAY-21  12:00 AM,"N",,"Certificate","Certified Nursing Assistant","Health Care Technologies (SAT)","Applied Tech &Tech Specialties",5,"N","N","",
5412465,16-DEC-16  02:40 PM,06-MAY-21  12:00 AM,"N",28,"Associates","Psychology","Psychology","Humanities & Social Sciences",61,"N","N","",3.223
5998799,19-DEC-17  04:01 PM,06-MAY-21  12:00 AM,"N",45,"Associates","Engineering/Computer","Unknown","Unknown",74,"U","U","",2.973
6014731,17-JAN-17  12:56 PM,06-MAY-21  12:00 AM,"N",30,"Associates","Architectural Technology","Unknown","Unknown",67,"U","U","",2.518
6026239,10-JAN-17  02:10 PM,06-MAY-21  12:00 AM,"N",6,"Associates","Sociology","Sociology","Humanities & Social Sciences",61,"N","N","",2.2
3678516,21-NOV-16  10:26 AM,06-MAY-21  12:00 AM,"N",16,"Associates","Visual Arts- Animation","Visual Arts & Design","Arts, Comm, & New Media",64,"N","N","",3.094
3678516,18-APR-17  11:58 AM,06-MAY-21  12:00 AM,"N",16,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",3.094
3678516,29-NOV-16  04:29 PM,06-MAY-21  12:00 AM,"N",16,"Associates","Film Production Technician","Performing Arts","Arts, Comm, & New Media",66,"N","N","",3.094
4532656,21-MAR-18  03:06 PM,06-MAY-21  12:00 AM,"N",39,"Associates","Social Work","Social Work","Humanities & Social Sciences",63,"N","N","",3.862
4532656,23-OCT-18  02:55 PM,06-MAY-21  12:00 AM,"N",39,"Associates","Criminal Justice","Criminal Justice/Inst. Pub Saf","Applied Tech &Tech Specialties",64,"N","N","",3.862
5425002,01-MAR-17  01:58 PM,06-MAY-21  12:00 AM,"N",34,"Associates","Graphic Communications","Visual Arts & Design","Arts, Comm, & New Media",,"N","N","",4
5443909,18-JAN-17  11:37 AM,06-MAY-21  12:00 AM,"N",8,"Certificate","Diagnostic Medical Sonography","Unknown","Unknown",,"U","U","",3.513
,09-DEC-16  02:03 PM,06-MAY-21  12:00 AM,"N",0,"Associates","Communication Studies","Unknown","Unknown",63,"U","U","",
5850987,13-DEC-16  03:56 PM,06-MAY-21  12:00 AM,"N",0,"Associates","Business","Business Management","Business",61,"N","N","",0
,02-MAY-17  09:33 AM,06-MAY-21  12:00 AM,"N",25,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",2.516
6245381,13-APR-18  09:04 AM,06-MAY-21  12:00 AM,"N",49,"Associates","Engineering/Civil/Environ","Unknown","Unknown",74,"U","U","",3.588
6245381,26-JUL-18  09:24 AM,06-MAY-21  12:00 AM,"N",49,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",3.588
6282313,22-JAN-18  11:03 AM,06-MAY-21  12:00 AM,"N",0,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",0
2774466,01-DEC-16  03:31 PM,06-MAY-21  12:00 AM,"N",40,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",1.681
2774466,07-DEC-16  01:56 PM,06-MAY-21  12:00 AM,"N",40,"Associates","Computer Sci & Info Systems","Comp. Sciences & Info. Systems","Business",,"N","N","",1.681
3477469,27-MAR-18  09:52 AM,06-MAY-21  12:00 AM,"N",69,"Associates","English","Unknown","Unknown",63,"U","U","",3.295
3477469,23-JUL-18  09:31 AM,06-MAY-21  12:00 AM,"N",69,"Associates","Pre-Medical Health Sciences","Biology","Science, Math & Engineering",,"N","N","",3.295
5032050,19-JAN-17  11:09 AM,06-MAY-21  12:00 AM,"N",7,"Associates","Geography","Unknown","Unknown",63,"U","U","",0.842
506620,17-JAN-17  01:18 PM,06-MAY-21  12:00 AM,"N",64,"Associates","General Studies","Unknown","Provost Office",61,"N","N","",3.196
700877,01-MAY-17  11:48 AM,06-MAY-21  12:00 AM,"N",8.67,"Associates","General Studies","Unknown","Unknown",61,"U","U","",3.631
3979670,07-NOV-17  02:29 PM,06-MAY-21  12:00 AM,"N",74,"Associates","Visual Arts - Design Spec.","Visual Arts & Design","Arts, Comm, & New Media",69,"N","N","",3.923
5014473,04-MAY-17  11:51 AM,06-MAY-21  12:00 AM,"N",54,"Associates","English","Unknown","Unknown",61,"U","U","",3.063
5014473,25-APR-17  08:38 AM,06-MAY-21  12:00 AM,"N",54,"Associates","Graphic Communications","Visual Arts & Design","Arts, Comm, & New Media",,"N","N","",3.063
5014473,04-MAY-17  11:49 AM,06-MAY-21  12:00 AM,"N",54,"Certificate","Writing","Unknown","Unknown",33,"U","U","",3.063
